TTP/TTP,T1082,T1083,T1222.002,T1105,T1552.003,T1087.001,T1033,T1059.004,T1106,T1574,T1087,T1020
T1082,1.0,0.9,0.9,0.9164,0.9164,0.9164,0.9,0.9816,0.9164,0.8917,0.9035,0.8989
T1083,0.9,1.0,0.9,0.9102,0.9102,0.9102,1.0,0.9819,0.9102,0.8982,0.9065,0.9
T1222.002,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9813,0.9,0.9032,0.9,0.8996
T1105,0.9164,0.9102,0.9,1.0,1.0,1.0,0.9102,0.9847,1.0,0.9048,0.9136,0.8987
T1552.003,0.9164,0.9102,0.9,1.0,1.0,1.0,0.9102,0.9847,1.0,0.9048,0.9136,0.8987
T1087.001,0.9164,0.9102,0.9,1.0,1.0,1.0,0.9102,0.9847,1.0,0.9048,0.9136,0.8987
T1033,0.9,1.0,0.9,0.9102,0.9102,0.9102,1.0,0.9819,0.9102,0.8982,0.9065,0.9
T1059.004,0.9816,0.9819,0.9813,0.9847,0.9847,0.9847,0.9819,1.0,0.9847,0.9735,0.9826,0.983
T1106,0.9164,0.9102,0.9,1.0,1.0,1.0,0.9102,0.9847,1.0,0.9048,0.9136,0.8987
T1574,0.8917,0.8982,0.9032,0.9048,0.9048,0.9048,0.8982,0.9735,0.9048,1.0,0.9,0.9513
T1087,0.9035,0.9065,0.9,0.9136,0.9136,0.9136,0.9065,0.9826,0.9136,0.9,1.0,0.9006
T1020,0.8989,0.9,0.8996,0.8987,0.8987,0.8987,0.9,0.983,0.8987,0.9513,0.9006,1.0
