TTP/TTP,T1082,T1083,T1222.002,T1105,T1552.003,T1087.001,T1033,T1059.004,T1106,T1574,T1087,T1020
T1082,1.0,0.9897,0.9898,0.9911,0.9899,0.9899,0.9901,0.9897,0.9898,0.9906,0.9909,0.9992
T1083,0.9897,1.0,0.9909,0.9912,0.9899,0.991,0.99,0.9898,0.9897,0.99,0.9909,0.9991
T1222.002,0.9898,0.9909,1.0,0.9903,0.9899,0.9899,0.9899,0.9896,0.9906,0.9898,0.9897,0.9992
T1105,0.9911,0.9912,0.9903,1.0,0.9912,0.9897,0.991,0.991,0.9908,0.9906,0.9896,0.9992
T1552.003,0.9899,0.9899,0.9899,0.9912,1.0,0.9899,0.9901,0.9898,0.9898,0.9906,0.991,0.9992
T1087.001,0.9899,0.991,0.9899,0.9897,0.9899,1.0,0.9904,0.9898,0.9908,0.99,0.9899,0.9992
T1033,0.9901,0.99,0.9899,0.991,0.9901,0.9904,1.0,0.9898,0.9898,0.9902,0.991,0.9992
T1059.004,0.9897,0.9898,0.9896,0.991,0.9898,0.9898,0.9898,1.0,0.9898,0.9899,0.9912,0.9992
T1106,0.9898,0.9897,0.9906,0.9908,0.9898,0.9908,0.9898,0.9898,1.0,0.9899,0.9908,0.999
T1574,0.9906,0.99,0.9898,0.9906,0.9906,0.99,0.9902,0.9899,0.9899,1.0,0.9899,0.9991
T1087,0.9909,0.9909,0.9897,0.9896,0.991,0.9899,0.991,0.9912,0.9908,0.9899,1.0,0.9992
T1020,0.9992,0.9991,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.999,0.9991,0.9992,1.0
