TTP/TTP,T1082,T1083,T1222.002,T1105,T1552.003,T1087.001,T1033,T1059.004,T1106,T1574,T1087,T1020
T1082,1.0,0.98,0.9792,0.9885,0.9792,0.9802,1.0,0.9855,0.9808,0.9813,0.9802,0.9869
T1083,0.98,1.0,0.9787,0.9914,0.9792,0.9808,0.98,0.9849,0.9811,0.9815,0.9859,0.9866
T1222.002,0.9792,0.9787,1.0,0.9792,0.9792,0.9796,0.9787,0.9787,0.9792,0.9787,0.9783,0.9864
T1105,0.9885,0.9914,0.9792,1.0,0.9796,0.9887,0.9885,0.9855,0.9834,0.9836,0.9885,0.9868
T1552.003,0.9792,0.9792,0.9792,0.9796,1.0,0.9797,0.9792,0.986,0.9794,0.9792,0.9792,0.9862
T1087.001,0.9802,0.9808,0.9796,0.9887,0.9797,1.0,0.9798,0.9818,0.9816,0.9812,0.9792,0.9844
T1033,1.0,0.98,0.9787,0.9885,0.9792,0.9798,1.0,0.9855,0.9804,0.9809,0.9802,0.9866
T1059.004,0.9855,0.9849,0.9787,0.9855,0.986,0.9818,0.9855,1.0,0.993,0.9931,0.9855,0.9859
T1106,0.9808,0.9811,0.9792,0.9834,0.9794,0.9816,0.9804,0.993,1.0,0.9798,0.9809,0.9855
T1574,0.9813,0.9815,0.9787,0.9836,0.9792,0.9812,0.9809,0.9931,0.9798,1.0,0.9813,0.986
T1087,0.9802,0.9859,0.9783,0.9885,0.9792,0.9792,0.9802,0.9855,0.9809,0.9813,1.0,0.9851
T1020,0.9869,0.9866,0.9864,0.9868,0.9862,0.9844,0.9866,0.9859,0.9855,0.986,0.9851,1.0
